,seccional,fiscales,poblacion
0,AMAZONAS,3,75388
1,ANTIOQUIA,1065,6266961
2,ARAUCA,26,266165
3,ATLANTICO,10,60071
4,BOLIVAR,94,1897567
5,BOYACA,109,1213015
6,CORDOBA,67,1683792
7,CALDAS,60,1004428
8,CAQUETA,37,471527
9,CASANARE,31,350221
10,CAUCA,95,1359634
11,CESAR,40,800362
12,CHOCO,27,461595
13,CUNDINAMARCA,2593,10374839
14,GUAINIA,5,82939
15,GUAVIARE,7,130991
16,HUILA,68,1140585
17,LA GUAJIRA,27,930165
18,MAGDALENA,102,1286609
19,META,94,945361
20,NARINO,86,1722999
21,NORTE DE SANTANDER,80,1342477
22,PUTUMAYO,17,348337
23,QUINDIO,39,562087
24,RISARALDA,75,946626
25,SAN ANDRES,8,75801
26,SANTANDER,139,1742598
27,SUCRE,42,843182
28,TOLIMA,126,1404268
29,VALLE,642,4586350
30,VICHADA,0,7026
